name,manufacturer,calories,fiber,sugars,cups,rating
100% Bran,Nabisco,70,10,6,0.33,
100% Natural Bran,Quaker Oats,120,2,8,1,33.983679
All-Bran,Kelloggs,70,9,5,0.33,59.425505
All-Bran with Extra Fiber,Kelloggs,50,14,0,0.5,
Almond Delight,Ralston Purina,110,1,8,0.75,
Apple Cinnamon Cheerios,General Mills,110,1.5,10,0.75,
Apple Jacks,Kelloggs,110,1,14,1,33.174094
Basic 4,General Mills,130,2,8,0.75,37.038562
Bran Chex,Ralston Purina,90,4,6,0.67,
Bran Flakes,Post,90,5,5,0.67,53.313813
Cap'n'Crunch,Quaker Oats,120,0,12,0.75,18.042851
Cheerios,General Mills,110,2,1,1.25,
Cinnamon Toast Crunch,General Mills,120,0,9,0.75,
Clusters,General Mills,110,2,7,0.5,40.400208
Cocoa Puffs,General Mills,110,0,13,1,22.736446
Corn Chex,Ralston Purina,110,0,3,1,
Corn Flakes,Kelloggs,100,1,2,1,
Corn Pops,Kelloggs,110,1,12,1,
Count Chocula,General Mills,110,0,13,1,22.396513
Cracklin' Oat Bran,Kelloggs,110,4,7,0.5,40.448772
Cream of Wheat (Quick),Nabisco,100,1,0,1,
Crispix,Kelloggs,110,1,3,1,46.895644
Crispy Wheat & Raisins,General Mills,100,2,10,0.75,
Double Chex,Ralston Purina,100,1,5,0.75,44.330856
Froot Loops,Kelloggs,110,1,13,1,
Frosted Flakes,Kelloggs,110,1,11,0.75,31.435973
Frosted Mini-Wheats,Kelloggs,100,3,7,0.8,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,Post,120,5,10,0.67,40.917047
Fruitful Bran,Kelloggs,120,5,12,0.67,
Fruity Pebbles,Post,110,0,12,0.75,28.025765
Golden Crisp,Post,100,0,15,0.88,
Golden Grahams,General Mills,110,0,9,0.75,23.804043
Grape Nuts Flakes,Post,100,3,5,0.88,52.076897
Grape-Nuts,Post,110,3,3,0.25,
Great Grains Pecan,Post,120,3,4,0.33,45.811716
Honey Graham Ohs,Quaker Oats,120,1,11,1,21.871292
Honey Nut Cheerios,General Mills,110,1.5,10,0.75,
Honey-comb,Post,110,0,11,1.33,28.742414
Just Right Crunchy  Nuggets,Kelloggs,110,1,6,1,
Just Right Fruit & Nut,Kelloggs,140,2,9,0.75,36.471512
Kix,General Mills,110,0,3,1.5,39.241114
Life,Quaker Oats,100,2,6,0.67,
Lucky Charms,General Mills,110,0,12,1,
Maypo,American Home Food Products,100,0,3,1,54.850917
Muesli Raisins; Dates; & Almonds,Ralston Purina,150,3,11,1,37.136863
Muesli Raisins; Peaches; & Pecans,Ralston Purina,150,3,11,1,
Mueslix Crispy Blend,Kelloggs,160,3,13,0.67,30.313351
Multi-Grain Cheerios,General Mills,100,2,6,1,
Nut&Honey Crunch,Kelloggs,120,0,9,0.67,29.924285
Nutri-Grain Almond-Raisin,Kelloggs,140,3,7,0.67,40.69232
Nutri-grain Wheat,Kelloggs,90,3,2,1,
Oatmeal Raisin Crisp,General Mills,130,1.5,10,0.5,30.450843
Post Nat. Raisin Bran,Post,120,6,14,0.67,37.840594
Product 19,Kelloggs,100,1,3,1,41.50354
Puffed Rice,Quaker Oats,50,0,0,1,60.756112
Puffed Wheat,Quaker Oats,50,1,0,1,63.005645
Quaker Oat Squares,Quaker Oats,100,2,6,0.5,49.511874
Quaker Oatmeal,Quaker Oats,100,2.7,-1,0.67,50.828392
Raisin Bran,Kelloggs,120,5,12,0.75,39.259197
Raisin Nut Bran,General Mills,100,2.5,8,0.5,
Raisin Squares,Kelloggs,90,2,6,0.5,55.333142
Rice Chex,Ralston Purina,110,0,2,1.13,
Rice Krispies,Kelloggs,110,0,3,1,
Shredded Wheat,Nabisco,80,3,0,1,
Shredded Wheat 'n'Bran,Nabisco,90,4,0,0.67,74.472949
Shredded Wheat spoon size,Nabisco,90,3,0,0.67,
Smacks,Kelloggs,110,1,15,0.75,31.230054
Special K,Kelloggs,110,1,3,1,53.131324
Strawberry Fruit Wheats,Nabisco,90,3,5,1,
Total Corn Flakes,General Mills,110,0,3,1,38.839746
Total Raisin Bran,General Mills,140,4,14,1,
Total Whole Grain,General Mills,100,3,3,1,46.658844
Triples,General Mills,110,0,3,0.75,
Trix,General Mills,110,0,12,1,
Wheat Chex,Ralston Purina,100,3,3,0.67,
Wheaties,General Mills,100,3,3,1,51.592193
Wheaties Honey Gold,General Mills,110,1,8,0.75,36.187559
